Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3036,"Shaker White",68,773,"30""W 36 H 12""D",,W3036.PNG,14,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3336,"Shaker White",73,836,"33""W 36 H 12""D",,W3336.PNG,15,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3636,"Shaker White",78,810,"36""W 36 H 12""D",,W3636.PNG,27,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W0942,"Shaker White",37,380,"9""W 42 H 12""D",,W0942.PNG,0,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W1242,"Shaker White",41,435,"12""W 42 H 12""D",,W1242.PNG,24,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W1542,"Shaker White",48,513,"15""W 42 H 12""D",,W1542.PNG,5,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W1842,"Shaker White",54,584,"18""W 42 H 12""D",,W1842.PNG,2,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W2142,"Shaker White",60,615,"21""W 42 H 12""D",,W2142.PNG,6,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W2442,"Shaker White",68,766,"24""W 42 H 12""D",,W2442.PNG,19,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W2742,"Shaker White",74,785,"27""W 42 H 12""D",,W2742.PNG,21,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3042,"Shaker White",80,883,"30""W 42 H 12""D",,W3042.PNG,9,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3342,"Shaker White",85,952,"33""W 42 H 12""D",,W3342.PNG,10,20
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3642,"Shaker White",91,1026,"36""W 42 H 12""D",,W3642.PNG,1,20
ARTSTAR,"Base Cabinets","Base Cabinet 6"" W",A-BSP6,"Shaker White",55,653,"W6"" D24"" H34 1/2""",,BSP6,6,20
ARTSTAR,"Base Cabinets","Base Cabinet 9"" W",A-BSP9,"Shaker White",62,684,"W9"" D24"" H34 1/2""",,BSP9,4,20
ARTSTAR,"Wall Cabinets",W3024,A-W3024,"Shaker White",49,476,"WALL CABINET 30""W x 24""H x 12""D",,W3024.PNG,12,20
ARTSTAR,"Wall Cabinets",OES636,A-OE636,"Shaker White",19,182,"OPEN END SHELF",,OES636.PNG,4,20
ARTSTAR,"Base Cabinets","Drawer Base 30"" 2 DEEP DRAWERS",A-DB36-3,"Shaker White",130,1352,"W36"" D24"" H34 1/2""",,3DB36.PNG,18,30
ARTSTAR,"Wall Cabinets","Wall Cabinet",A-W3018,"Shaker White",40,405,"Wall cabinet 30"" W x 18"" H ",,W3018.PNG,16,20
ARTSTAR,Moldings,SHM,SHM,"Shaker White",2,70.8,"3/4"" SHOE MOLDING",,SHM.PNG,60,0
ARTSTAR,"Tall Cabinets",A-U248424,A-U248424,"Shaker White",170,2197,"U248424 PANTRY UTILITY CABINET",,U248424.PNG,0,20
ARTSTAR,"Wall Cabinets",A-WDEP30,A-WDEP30,"Shaker White",12,166,"ARTSTAR WALL DECORATIVE END PANEL 29"" H 11.5 W",,WDEP30.PNG,19,0
ARTSTAR,"Base Cabinets",BDEP,BDEP,"Shaker White",20,335,"BASE DOOR END PANEL 29.5H 23.5"" W",,BDEP.PNG,20,0
ARTSTAR,Moldings,"LIGHT RAIL",A-LRM,"Shaker White",5,143,"LIGHT RAIL",,LRM.PNG,50,0
ARTSTAR,"Tall Cabinets",U249024,A-U249024,"Shaker White",325,1820,"PANTRY CABINET 24W X 90H X 24D",,U249024.JPG,1,35
ARTSTAR,Accessories,"TUK TOUCH UP KIT",A-TUK,"Shaker White",1,30,"ARTSTAR WHITE SHAKER TOUCH UP KIT",,no_image.jpg,20,0
ARTSTAR,"Base Cabinets","BASE CORNER SINK 42 BOX",A-CSB42BX,"Shaker White",100,970,"W42"" D24"" H34 1/2""",,Corner_Sink_Base_36_and_421.PNG,10,25
ARTSTAR,"Base Cabinets","BASE CORNER SINK 42 DOOR/FACE",A-CSB42DF,"Shaker White",87,595,"W42"" D24"" H34 1/2""",,A-CSB42,10,25
ARTSTAR,"Base Cabinets","Drawer Base 3"" 2 DRAWERS",A-DB30-2,"Shaker White",115,1100,"W30"" D24"" H34 1/2""",,3DB2.PNG,9,25
ARTSTAR,"Tall Cabinets",U189024,A-U189024,"Shaker White",260,1740,"PANTRY CABINET 18W X 90H X 24D",,U189024.JPG,1,35
ARTSTAR,"Tall Cabinets",A-OC339024,A-OC339024,"Shaker White",240,2800,"OVEN CABINET W33"" D24"" H90""",,OC332490.PNG,5,40
ARTSTAR,"Tall Cabinets",U-2496,A-U2496,"Shaker White",180,2435,"PANTRY 24W 96H 24D",,U249624.PNG,0,30
ARTSTAR,"Wall Cabinets",A-WDEP36,A-WDEP36,"Shaker White",14,198,"ARTSTAR WALL DECORATIVE END PANEL 35"" H 11.5 W",,WDEP36.PNG,20,0
ARTSTAR,"Wall Cabinets",A-WDEP42,A-WDEP42,"Shaker White",16,235,"ARTSTAR WALL DECORATIVE END PANEL 41"" H 11.5 W",,WDEP42.PNG,20,0
ARTSTAR,Accessories,A-RS18,A-RS18,"Shaker White",12,221,"ROLL OUT SHELF 18",,RS18.PNG,20,10
ARTSTAR,Accessories,A-RS24,A-RS24,"Shaker White",14,246,"ROLL OUT SHELF 24",,RS24.PNG,14,10
ARTSTAR,Accessories,A-RS30,A-RS30,"Shaker White",16,270,"ROLL OUT SHELF 30",,RS30.PNG,20,10
ARTSTAR,Accessories,"A-1.5 FRONT FOR REP30",A-1.5.96,"Shaker White",3,80,"FACE FOR REP",,F1.5,20,0
ARTSTAR,Accessories,TK8,TK8,"Shaker White",2,100,"TOE KICK",,no_image.jpg,16,0
ARTSTAR,Moldings,CM8,CM8,"Shaker White",4,155,"CROWN MOLDING 8 FT.",,no_image.jpg,33,0
ARTSTAR,Moldings,OCM8,OCM8,"Shaker White",2,97,"Outside Corner Molding 8ft.",,no_image.jpg,19,0
