Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Glideware Pullout",KET-B12GDPO,"Essex Truffle",53.5,852,"Essex Truffle 12"" Base w/ Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Glideware Pullout",KET-B15GDPO,"Essex Truffle",59,890,"Essex Truffle 15"" Base w/ Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Glideware Pullout",KET-B18GDPO,"Essex Truffle",61.8,930,"Essex Truffle 18"" Base w/ Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Glideware Pullout",KET-B21GDPO,"Essex Truffle",66.2,965,"Essex Truffle 21"" Base w/ Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 9"" Full Height Base w/ Tray Divider",KET-BF09TDIV,"Essex Truffle",29.4,399,"Essex Truffle 9"" Full Height Base w/ Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Base w/ Tray Divider",KET-B12TDIV,"Essex Truffle",42.5,564,"Essex Truffle 12"" Base w/ Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Tray Divider",KET-B15TDIV,"Essex Truffle",48,602,"Essex Truffle 15"" Base w/ Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Tray Divider",KET-B18TDIV,"Essex Truffle",50.8,642,"Essex Truffle 18"" Base w/ Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Tray Divider",KET-B21TDIV,"Essex Truffle",55.2,677,"Essex Truffle 21"" Base w/ Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Cutlery Tray & Soft-Close Rollouts",KET-B18CTRY-SCRT,"Essex Truffle",67.2,947,"Essex Truffle 18"" Base w/ Cutlery Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Cutlery Tray & Soft-Close Rollouts",KET-B15CTRY-SCRT,"Essex Truffle",63.6,891,"Essex Truffle 15"" Base w/ Cutlery Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Utensil Tray & Soft-Close Rollouts",KET-B15UTRY-SCRT,"Essex Truffle",64.6,963,"Essex Truffle 15"" Base w/ Utensil Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Utensil Tray & Soft-Close Rollouts",KET-B18UTRY-SCRT,"Essex Truffle",68.2,1019,"Essex Truffle 18"" Base w/ Utensil Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Utensil Tray & Soft-Close Rollouts",KET-B21UTRY-SCRT,"Essex Truffle",73,1072,"Essex Truffle 21"" Base w/ Utensil Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 24"" Base w/ Utensil Tray & Soft-Close Rollouts",KET-B24BUTRY-SCRT,"Essex Truffle",79.3,1171,"Essex Truffle 24"" Base w/ Utensil Tray & Soft-Close Rollouts",,,100,20
