Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SW-W3618,"Shaker White",35,361.2,"36"" Wall Bridge Cabinet",,W3618.PNG,96,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SW-W361824,"Shaker White",53,445.2,"36"" Refrigerator Wall Cabinet",,W361824.PNG,93,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SW-W3624,"Shaker White",35,450,"36"" Wall Bridge Cabinet",,W3624.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SW-W362424,"Shaker White",63,595.2,"36"" Wall Refrigerator Cabinet",,W362424.PNG,84,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SW-W3630,"Shaker White",69,565.2,"30"" High Cabinet 2 Doors, - 2 Shelves",,W3630.PNG,83,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SW-W3636,"Shaker White",78,643.2,"36"" High Cabinet 2 Doors, - 2 Shelves",,W3636.PNG,93,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SW-W3642,"Shaker White",91,742.8,"42"" High Cabinet 2 Doors, - 3 Shelves",,W3642.PNG,93,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SW-W3930,"Shaker White",72,598.8,"30"" High Cabinet 2 Doors, - 2 Shelves",,W3930.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC2430,"Shaker White",51,356.4,"Wall Blind Cornet Cabinet ",,WBC2730.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC2442,"Shaker White",66,477.6,"Wall Blind Cornet Cabinet",,WBC2742.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC2730,"Shaker White",53,376.8,"Wall Blind Cornet Cabinet ",,WBC2730.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC2736,"Shaker White",59,429.6,"Wall Blind Cornet Cabinet",,WBC2736.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC2742,"Shaker White",69,505.2,"Wall Blind Cornet Cabinet",,WBC2742.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC3630,"Shaker White",56,488.4,"Wall Blind Cornet Cabinet ",,WBC2730.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Corner Cabinet",SW-WBC3642,"Shaker White",71,654,"Wall Blind Cornet Cabinet",,WBC2742.PNG,100,20
"TEAM CABINETS",Panels,"Wall End Panel",SW-WDEP30,"Shaker White",10,116.4,"Wall End Panel 11 1/2 x 29 x3/4",,WDEP30.PNG,51,0
"TEAM CABINETS",Panels,"Wall End Panel",SW-WDEP36,"Shaker White",12,132,"Wall End Panel 11 1/2 x 35 x3/4",,WDEP36.PNG,96,0
